Part A: IR + 記憶體 + 調度 + Fusion,A->B: IR types、fusion rules（B 的 Search 用 A 的 IR）,,,,
Part B: 搜尋 + 優化 + Layout ILP,A->C: IR types（C 的 Operator 用 A 的 IR）,,,,
Part C: 算子 + 執行 + 驗證,B->C:tile dim strategy、search decisions（C 執行 B 找到的最優解）,,,,
Category,Item,Status,Details,Priority,Portable_to_DAG_Optimization
IR / Graph Representation,建立兩層 IR 架構：KNGraph（Kernel-level）,,KNGraph 是 Op-level 計算圖：每個 Node 是一個 GPU kernel（如 matmul、customized op）；每條邊是 DTensor（Global Memory 上的 tensor）,High,概念可移植｜對應 DAG scheduler 的 problem graph；可借鑑其將 graph 分成「fusion boundary 間」與「fusion boundary 內」兩層的設計，改善現有 subgraph IR 的表達力
IR / Graph Representation,建立兩層 IR 架構：TBGraph（Threadblock-level）,,TBGraph 是 KNGraph 內部的細粒度圖：每個 Node 是一個 Threadblock Op（matmul、input loader、output store）；每條邊是 STensor（Shared Memory）,High,概念可移植｜對應 DAG scheduler 的 subgraph 內部結構；可用來描述 fused group 內部的 op 排列順序與 shared-memory tensor 的生命週期
IR / Graph Representation,DTensor / STensor 分層 metadata,,DTensor: Global Memory 上的 tensor，有 dim / stride / dtype；STensor: Shared Memory 上的 tensor，有 swizzle / layout meta,High,概念可移植｜對應 DAG scheduler 的 tensor 結構；區分 slow memory tensor（DTensor）與 fast memory tensor（STensor）可改善 working set 分析精確度
IR / Graph Representation,Op 類型系統（KNOperatorType / TBOperatorType）,,KN-level: matmul / reduction / elementwise / customized；TB-level: input / output / matmul / forloop_accum / elementwise unary,Medium,部分可移植｜DAG scheduler 只有 MatMul + Pointwise；若未來擴展支援更多 Op 類型，可參考 Mirage 的 type enum 設計
Layout Optimization,Z3 ILP Solver 解決 Tensor Layout 問題,,用 Z3 SMT Solver 解 Integer Linear Programming；目標：最小化 memory cost（bank conflict + SMEM 用量 + copy 效率）；決定每個 STensor 的 row/col-major 與 stride 配置,High,"高度可移植｜可直接改寫為 DAG scheduler 的 ILP-based granularity selection：把 tile (w,h,k) 的選擇轉為 ILP 變數；約束為 fast_memory_capacity；目標為最小化 total latency"
Layout Optimization,預定義 layout cost 常數（penalty 機制）,,TB_INPUT_NO_WIDE_COPY = 4000；TB_MATMUL_NO_LDMATRIX = 10000；TB_INPUT_NO_CP_ASYNC = 20000；SWIZZLE_DIM = 1000；以懲罰分數引導 ILP 解的方向,High,高度可移植｜DAG scheduler 可為不同 granularity 選擇建立類似的懲罰機制，例如：tile 太小導致 compute underutilization 加分、tile 太大導致 OOM 加分，從而用 penalty-guided search 取代純 enumerate
Layout Optimization,多維度 stride 計算與 innermost dim 分析,,calc_tensor_strides() 計算每個維度的 stride 與對齊需求；find_innermost_dim() 找到連續存取的 innermost dim,Medium,部分可移植｜DAG scheduler 目前 tensor 是 2D（w × h），可借鑑 innermost dim 分析確保 granularity 選擇時 memory access 是 coalesced 的
TB Graph Scheduling,深度優先拓樸排序（Depth-based Topological Sort）,,sched_tb_graph.cc：根據 op 的 dependency depth 決定執行順序；深度相同的 op 可並行；目標是最小化 __syncthreads() 同步屏障數量,High,高度可移植｜直接對應 DAG scheduler 的 subgraph 內部 op 排序問題；借鑑此方法可讓 fused group 內的 op 以最少同步 pass 完成，降低 subgraph 內部延遲估算的誤差
TB Graph Scheduling,Op chaining meta 分析（chunked copy 可行性）,,OpChainingMeta：分析相鄰 op 間的 tensor 是否能用 chunked（128-bit）copy；can_perform_chunked_copy() 檢查 innermost dim 對齊,Medium,概念可移植｜DAG scheduler 可借鑑此分析，判斷哪些 subgraph 間的 tensor 傳輸能以更大的 transfer unit 完成，從而降低 memory_time 估算
TB Graph Scheduling,Pre-loop / Loop / Post-loop 三段調度,,將 TB op 分為 pre-loop（初始化）、loop（主計算迴圈）、post-loop（後處理）三段；支援 forloop accumulator 模式（split-K）,High,概念可移植｜對應 DAG scheduler 的 split-K（reduction 維度分割）；DAG scheduler 的 granularity k 就是 loop 次數，可借鑑此框架讓 tile loop 與 reduction loop 獨立調度
Memory Planning,DSA（Dynamic Storage Allocation）heuristic,,"plan_stensor_memory.cc：計算每個 STensor 的 live range [alloc_time, free_time)；用 online allocation heuristic（類似 malloc best-fit）最小化 peak shared memory 用量；不重疊的 tensor 可複用同一塊 SRAM",High,高度可移植｜這是最關鍵的可移植技術；對應 DAG scheduler 的 fast memory 容量限制；如果對 fused group 內的 tensor 做 live range 分析，不重疊的 tensor 可複用 fast memory，讓更多 tensor 可以被 retain，直接解決 mlsys-2026-5（30K fast mem）的瓶頸
Memory Planning,TensorDecl 生命週期建模,,"每個 STensor 有 (alloc_time, free_time, phy_size)；alloc_time = 第一個 consumer 開始前；free_time = 最後一個 consumer 結束後",High,高度可移植｜DAG scheduler 的 tensors_to_retain 決策可直接用此模型：只有 live range 超過 subgraph boundary 的 tensor 需要 retain；live range 在 subgraph 內結束的 tensor 不需要 retain
Memory Planning,Peak memory usage 追蹤與 OOM 預防,,每個 allocation step 追蹤累積 peak memory；如果 peak > capacity 則拒絕此方案,High,高度可移植｜DAG scheduler 目前的 OOM 檢查是 run-time validation（事後補救）；Mirage 的做法是 compile-time 計算 peak，讓 OOM 檢查更早發生，減少無效 candidate 評估
Fusion Resolution,Epilogue Fusion（Unary Op 融合）,,resolve_tb_fusion.cc：將連續的 elementwise unary op 與前一個 op 融合（epilogue chain）；條件：output 只有一個 consumer、前一個 op 不是 INPUT_OP 或 FORLOOP_ACCUM,High,高度可移植｜直接對應 DAG scheduler 的 Pointwise fusion：若一個 Pointwise op 的唯一輸入來自 MatMul op 且沒有其他 consumer，應融合進同一 subgraph；可強化現有 fusion legality 的 single-consumer check
Fusion Resolution,Fusion chain 建構（tail-to-head 回溯）,,從 fusion chain 的 tail op 往回追溯 is_fused_with_prev；建立 fused_ops list，保留 chain 結構供 code gen 使用,High,高度可移植｜DAG scheduler 可借鑑此回溯方法，在 partition search 後重建每個 subgraph 的 op 執行鏈，同時標記哪些 tensor 是 internal（不需要 slow memory 傳輸）
Fusion Resolution,FORLOOP_ACCUM 融合規則,,TB_FORLOOP_ACCUM_NO_RED_OP 可以與下一個 op 融合（epilogue accum）；但不能被前一個 op 當作 epilogue target,Medium,概念可移植｜對應 DAG scheduler 的 split-K accumulation 結果 tensor；若 reduction 的中間累加結果 tensor 只有一個 consumer，可以 retain 在 fast memory 中而不需要 store/reload
Code Generation,CUDA Kernel Code Generation（Transpiler）,,transpile.cc：主入口；transpiler_kn.cc：kernel-level CUDA code；transpiler_tb.cc/hopper/blackwell：threadblock-level CUDA code with CuTe primitives,Low,"不適用｜DAG scheduler 不生成實際可執行程式碼；但 code gen 中的 tiling loop 結構（split-K, spatial tiling）可以作為 latency model 的參考"
Code Generation,CuTe primitive 整合（Tensor Core 存取）,,使用 CUTLASS CuTe 的 Layout / Tensor / Copy atom；支援 ldmatrix、cp.async、TMA 等 hardware intrinsics,Low,不適用｜GPU 硬體特定
Code Generation,Kernel 參數自動推導（grid / block dim）,,根據 tile size 和 tensor shape 自動計算 grid_dim 和 block_dim；支援 warp specialization（不同 warp group 做不同工作）,Medium,概念可移植｜DAG scheduler 的 granularity 選擇對應 tile size；Mirage 的 grid/block dim 計算邏輯隱含了 compute_utilization 的計算方式，可借鑑改善 cost model
Persistent Kernel Runtime,Megakernel：永駐 GPU 不退出,,persistent_kernel.cuh：kernel launch 後 GPU workers 不退出，持續從 task queue 取任務執行；消除所有 kernel launch overhead,Low,不適用｜DAG scheduler 使用模擬硬體，無 kernel launch overhead 概念
Persistent Kernel Runtime,Task Stealing Scheduler（96 workers / 48 schedulers）,,每個 SM group 是一個 worker；48 個 local scheduler 管理 task queue；worker 空閒時從鄰近 scheduler 偷任務（work stealing）；確保 GPU 在小 batch size 時也能滿載,Medium,概念可移植｜對應 DAG scheduler 的 load balancing 問題：若 subgraph 計算量不均，work stealing 的思路可用來設計更好的 subgraph partition 策略，讓每個 subgraph 的 latency 更均衡
Persistent Kernel Runtime,Paged KV Cache 管理,,為每個 request 分配 page table；支援動態 sequence length；KV cache 的 page 在 fast memory 中按需載入,Low,不適用｜DAG scheduler benchmark 無 KV cache 概念
Persistent Kernel Runtime,Speculative Decoding 支援（Prompt Lookup / Lookahead）,,speculative.py：支援 prompt lookup decoding 和 lookahead decoding；DAG 結構中包含 speculative token 的驗證 subgraph,Low,不適用｜Competition benchmark 無 speculative decoding 場景
Operator Library,Attention 算子（MHA / GQA / MQA / Paged）,,"支援 Multi-Head, Group Query, Multi-Query Attention；支援 Paged KV Cache；支援 Flash Attention 風格的 online softmax",High,概念可移植｜GQA 的 reuse pattern（K/V 被多個 Q head 共享）對應 DAG scheduler 中 tensor 被多個 op 使用的情況；Mirage 的 retain tensor 決策邏輯在此最明顯
Operator Library,RMSNorm / LayerNorm / QK Norm,,rmsnorm_linear_layer：把 RMSNorm 和接下來的 Linear 融合成單一 kernel；這是 DAG scheduler 問題的縮影,High,高度可移植｜RMSNorm + Linear 的 fusion 決策邏輯（中間結果 tensor 只在 fast memory 中存在）直接對應 DAG scheduler 的 Pointwise + MatMul fusion
Operator Library,SiLU / GELU / ReLU activation,,Pointwise activation 作為 epilogue 融合進前一個 matmul kernel,High,高度可移植｜與 DAG scheduler 的 Pointwise fusion 問題完全對應；Mirage 的做法可作為 fusion legality 的 reference implementation
Operator Library,Mixture of Experts（MoE）routing + linear,,moe_linear_layer：包含 token routing（top-k selection）+ 分組 matmul + gather；是非均勻計算的代表案例,Medium,概念可移植｜MoE 的 dynamic routing 導致不同 expert 的 workload 不均衡，這和 DAG scheduler 中不同 subgraph latency 差異大的問題類似；work stealing 的調度策略可互相借鑑
Operator Library,Rotary Positional Embedding（RoPE）,,rotary_embedding：sin/cos 與 Q/K 的 elementwise multiply；融合進 attention 的 pre-processing,Medium,概念可移植｜純 Pointwise op 序列的 fusion；對應 DAG scheduler 中多個 Pointwise op 的 fusion chain 問題
Superoptimization Search,Kernel Graph Generator（窮舉搜尋）,,search.cc：KernelGraphGenerator 用 beam search + 多執行緒探索 kernel graph 空間；對每個候選 graph 做 probabilistic / formal 驗證,High,高度可移植｜可借鑑 beam search 框架改善 DAG scheduler 的 partition search：目前 DP 搜尋的 candidate 空間太小，引入 beam search 可在更大空間中找到更優解
Superoptimization Search,Abstract Expression 驗證（Probabilistic Verifier）,,search/verification：用隨機輸入測試候選 kernel 的輸出是否與 reference 相同；probabilistic_verifier 提供快速篩選,High,高度可移植｜DAG scheduler 的 evaluator.cpp 類似 Mirage 的 verifier：都是獨立重算 latency/legality；Mirage 的 probabilistic verify 概念可用來加速 DAG scheduler 的 candidate 篩選
Superoptimization Search,多執行緒搜尋（multi-thread beam search）,,KernelGraphGenerator 支援多執行緒；multithread_threshold_depth 控制何時展開並行；使用 thread-local state 避免鎖競爭,Medium,"高度可移植｜DAG scheduler 的 optimus.cpp 目前是單執行緒；改成多執行緒的 candidate evaluation 可顯著降低大 benchmark（mlsys-2026-13：63 ops, mlsys-2026-17：103 ops）的搜尋時間"
Superoptimization Search,Symbolic Graph 表示（Symbolic KNGraph / TBGraph）,,search/symbolic_graph：用 symbolic 表示（不含具體數值）來比較兩個 graph 是否等價；支援 op reordering 後的結構等價判斷,Medium,概念可移植｜DAG scheduler 可借鑑 symbolic graph 來做 candidate deduplication：避免 interval mode 與 seed-growth mode 產生重複的 fusion group，減少不必要的 evaluator 呼叫
Superoptimization Search,Dim Strategy（維度映射策略）,,search/dim_strategy.cc：決定如何將 KNGraph 的維度映射到 TBGraph 的 tile 維度；支援多種 split 策略,High,"高度可移植｜直接對應 DAG scheduler 的 granularity 候選生成；目前 DAG scheduler 只有 [full, native, native/2, native/4] 四個候選，Mirage 的 dim_strategy 能產生更豐富的 tile 組合"
Cost Model,Roofline Cost Model（compute vs memory）,,"每個 op 的 step_latency = max(compute_time, memory_time)；這和 DAG scheduler 的 cost model 結構完全相同",High,高度可移植｜兩個系統的 cost model 結構完全一致；Mirage 的做法是加入 warp utilization factor（compute_time = base_cost × spatial_factor × reduction_factor），可直接用來改善 DAG scheduler 的 granularity scoring
Cost Model,Tensor 存取模式分析（coalesced / non-coalesced）,,根據 innermost dim 判斷是否為 coalesced access；non-coalesced access 會 multiply bandwidth penalty,High,高度可移植｜DAG scheduler 目前的 memory_time 計算假設所有存取都是等效的；加入 access pattern penalty 可讓 granularity 選擇更精確
Cost Model,Warp Specialization Cost（Tensor Core vs CUDA Core）,,Tensor Core warp 的 throughput 與 CUDA Core warp 不同；GEMM 計算用 Tensor Core，reduction/pointwise 用 CUDA Core,Low,不適用｜GPU 硬體特定；DAG scheduler 的 base_cost 已隱含不同 op 類型的計算代價
Backend Transpilers,Triton Backend Transpiler,,triton_transpiler/：將 KNGraph/TBGraph IR 轉換為 Triton Python 程式碼；部分算子仍未支援,Medium,概念可移植｜Triton backend 的設計概念（以 IR 為中心，可輸出不同 backend）對應 DAG scheduler 可設計不同 solver backend（optimus / optimus_conv）的架構；目前架構已有此設計
Backend Transpilers,AWS Trainium NKI Backend,,nki_transpiler/：將 IR 轉換為 NeuronCore Kernel Interface；針對 AWS Trainium 特殊 SRAM 架構優化,Low,不適用｜硬體特定
Evaluation / Validation,Python-C++ Binding（Cython / PyBind11）,,python/mirage/：透過 Cython 將 C++ kernel 包裝為 Python API；mpk.py / persistent_kernel.py 提供高階 API,Low,不適用｜DAG scheduler 是純 C++ 競賽提交
Evaluation / Validation,Perfetto Profiler 整合,,profiler_persistent.py：輸出 Perfetto trace JSON；可視化每個 op 的 execution timeline 和 memory usage,Medium,概念可移植｜DAG scheduler 可加入類似的 timeline 視覺化，幫助 debug 哪些 subgraph 是 compute-bound vs memory-bound，指導 granularity 優化方向
Evaluation / Validation,Test Mode（單層驗證）,,PersistentKernel(test_mode=True)：可以只測試單一 layer 的 correctness 和 performance，不需要跑完整 model,High,高度可移植｜DAG scheduler 的 run_benchmarks.sh 對應此概念；可進一步發展 per-subgraph 的 unit test，獨立驗證每個 subgraph 的 latency 估算是否準確
Recommended Next Steps（DAG Scheduler）,移植 DSA live-range memory planning,,把 Mirage 的 TensorDecl live-range 模型移植進 DAG scheduler：計算每個 tensor 在 subgraph 內的 alloc/free time；讓 tensor 複用 fast memory，擴大可 retain tensor 的數量,High,直接解決 mlsys-2026-5（30K fast mem 限制）的效能瓶頸，預計降低 15-25% latency
Recommended Next Steps（DAG Scheduler）,移植 ILP-based Granularity Selection,,"把 Mirage 的 Z3 ILP layout solver 改寫為 granularity selection ILP：變數 = 每個 subgraph 的 (w, h, k)；約束 = fast memory ≤ capacity；目標 = min total latency；全局最優而非 per-subgraph greedy",High,對 mlsys-2026-13（63 ops）與 mlsys-2026-17（103 ops）潛力最大，預計降低 10-20%
Recommended Next Steps（DAG Scheduler）,移植 Epilogue Fusion 的 consumer count check,,借鑑 resolve_tb_fusion.cc 的 num_consumers 計數：只有 single-consumer 的 op 才能融合；這比目前 shape-based early reject 更精確,High,直接修復目前 fusion legality 過度保守的問題，擴大 candidate search space
Recommended Next Steps（DAG Scheduler）,移植 Depth-based 拓樸排序到 partition search,,用 Mirage 的 sched_tb_graph.cc 思路：在 DP partition search 中，根據 op 的 dependency depth 做 topological bucketing；depth 相同的 op 可平行執行，降低 subgraph 內部延遲,Medium,改善 subgraph latency 估算的準確性，特別是 fused group 內有多個獨立 op 路徑時
Recommended Next Steps（DAG Scheduler）,移植 Beam Search 取代純 DP,,借鑑 KernelGraphGenerator 的 multi-thread beam search：維護 top-K partition 候選；每步從 top-K 中展開；多執行緒平行評估；可解決目前 DP 在大 benchmark 陷入 local optimum 的問題,High,對 mlsys-2026-13 最關鍵（目前幾乎無改善，0.01%），beam search 可顯著擴大搜尋空間
Recommended Next Steps（DAG Scheduler）,整合 Retain Tensor 決策進 DP 狀態,,目前 retain 是 post-partition 決策；改為將 retained_tensors + fast_mem_used 加入 DP state key（參考 Mirage 的 compile-time co-optimization 思路）；讓 partition 與 retain 同時最優化,High,最高優先級：預計對 mlsys-2026-5 帶來 15-25% 改善，對 mlsys-2026-13 帶來 10-20%
Swizzle Planning,XOR-based swizzle（Hopper / Blackwell）,,plan_tb_swizzle_hopper.cc + blackwell.cc：用 XOR 操作 remapping tensor element address，消除 SRAM bank conflict,Low,不適用｜GPU SRAM 的 bank conflict 是硬體特性；DAG scheduler 的 fast memory 模型沒有 bank 概念
Swizzle Planning,Shift-based swizzle（Ampere / Ada）,,plan_tb_swizzle.cc：用 shift offset 做 address remapping；根據 min_chunk_size 選擇 swizzle 策略,Low,不適用｜GPU 硬體特定，DAG scheduler 不需要
Swizzle Planning,Innermost min chunk size 推導,,根據 op 類型推導每個 STensor 需要的最小連續存取單元：matmul 要求 16B 對齊（8 elements for fp16）；input/output 的 chunked copy 也有類似要求,Low,不適用｜GPU 硬體特定
Multi-GPU Support,NVSHMEM 整合（GPU 間直接通信）,,multigpu.py：使用 NVSHMEM 讓 GPU 間直接通信，不走 CPU；支援 all-reduce / reduce-scatter 在 megakernel 內部執行,Low,不適用｜DAG scheduler benchmark 是單機問題
Multi-GPU Support,MPI-based 多 GPU 初始化,,world_size / mpi_rank 參數；每個 GPU 持有不同的 model shard（tensor parallel）,Low,不適用｜競賽 benchmark 無分散式設定
Hardware Abstraction,Hopper TMA（Tensor Memory Accelerator）支援,,docs/mpk/tma.md：H100 的 TMA 允許非同步 bulk data move（不佔用 CUDA Core cycle）；persistence kernel 使用 TMA 做 prefetch,Low,不適用｜GPU 硬體特定
Hardware Abstraction,Blackwell 架構支援,,transpiler_tb_blackwell.cc：Blackwell 有新的 swizzle 規格和更大的 SRAM；部分 feature 仍在整合中,Low,不適用｜GPU 硬體特定
Hardware Abstraction,Ampere / Ada（A100 / L40S）相容,,舊架構用 cp.async 做非同步 copy；不支援 TMA；code gen 根據 compute capability 選擇不同路徑,Low,不適用｜GPU 硬體特定
